City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,torbat-e jam,35.244,60.6225,283.79,28,0,0.5,IR,1707957606
285,mata-utu,-13.2816,-176.1745,301.74,82,100,8.54,WF,1707957606
286,quesada,10.3238,-84.4271,298.88,93,80,2.64,CR,1707957606
287,pariaman,-0.619,100.12,299.18,80,36,1.68,ID,1707957606
288,hilo,19.7297,-155.09,302.75,68,20,6.17,US,1707957606
289,amahai,-3.3333,128.9167,303.06,66,100,3.47,ID,1707957606
290,aljezur,37.3191,-8.8033,290.25,83,28,7.15,PT,1707957607
291,sao joao da barra,-21.6403,-41.0511,297.2,93,100,4.2,BR,1707957607
292,xinzhi,36.4989,111.7047,276.06,37,100,1.07,CN,1707957607
293,urengoy,65.9667,78.3667,244.45,97,29,5.42,RU,1707957607
294,port victoria,0.0939,33.9756,296.47,69,100,2.63,KE,1707957607
295,berezovyy,51.6667,135.7,256.58,77,73,0.91,RU,1707957607
296,ust-nera,64.5667,143.2,238.36,98,100,1.08,RU,1707957607
297,muzaffarabad,34.37,73.4711,282.03,40,3,3.23,PK,1707957607
298,clarksburg,39.2807,-80.3445,276.4,67,0,0.0,US,1707957607
299,san antonio de pale,-1.4014,5.6325,301.7,78,77,2.55,GQ,1707957607
300,ust-tsilma,65.441,52.1498,237.93,100,61,0.45,RU,1707957608
301,utrik,11.2278,169.8474,299.11,75,35,9.23,MH,1707957608
302,vila franca do campo,37.7167,-25.4333,288.38,81,100,4.62,PT,1707957608
303,san antonio,29.4241,-98.4936,290.71,76,100,4.63,US,1707957360
304,red deer,52.2668,-113.802,264.42,79,75,2.57,CA,1707957458
305,waajid,3.8096,43.2463,298.02,68,37,7.87,SO,1707957608
306,portland,45.5234,-122.6762,278.47,92,100,8.23,US,1707957119
307,saipan,15.1355,145.701,301.54,69,40,8.75,MP,1707957608
308,paraiso,9.8383,-83.8656,294.63,95,93,2.34,CR,1707957482
309,fisterra,42.9049,-9.2629,288.57,90,100,3.91,ES,1707957608
310,chukhloma,58.7525,42.6825,248.76,99,6,2.24,RU,1707957609
311,trincomalee,8.5711,81.2335,300.2,77,100,6.42,LK,1707957609
312,ialibu,-6.2821,143.9935,293.51,81,46,1.46,PG,1707957609
313,boca suno,-0.7167,-77.1333,294.99,99,100,0.81,EC,1707957608
314,jwaneng,-24.6004,24.7303,299.06,31,100,2.3,BW,1707957609
315,santa maria,-29.6842,-53.8069,292.76,83,20,2.57,BR,1707957609
316,gillette,44.2911,-105.5022,268.74,82,100,2.57,US,1707957610
317,arvayheer,46.2639,102.775,263.72,23,0,2.61,MN,1707957610
318,makushino,55.2103,67.2442,243.9,94,82,5.61,RU,1707957610
319,kodiak,57.79,-152.4072,277.88,87,100,7.72,US,1707957583
320,enid,36.3956,-97.8784,290.24,56,0,9.26,US,1707957362
321,touros,-5.1989,-35.4608,300.07,82,94,3.02,BR,1707957610
322,ribeira brava,32.65,-17.0667,293.15,71,13,4.52,PT,1707957610
323,frenda,35.0654,1.0495,282.58,46,55,5.02,DZ,1707957611
324,kuqa,41.7278,82.9364,272.92,56,96,1.94,CN,1707957611
325,warrenton,-28.114,24.8475,295.09,17,30,2.11,ZA,1707957611
326,hithadhoo,-0.6,73.0833,301.27,77,98,6.76,MV,1707957611
327,desnogorsk,54.1508,33.2815,269.06,96,100,2.94,RU,1707957611
328,porbandar,21.6422,69.6093,292.8,35,0,5.37,IN,1707957611
329,champerico,14.3,-91.9167,300.6,75,0,3.19,GT,1707957611
330,chinsali,-10.5414,32.0816,290.91,99,100,2.25,ZM,1707957611
331,mugia,43.1041,-9.2179,288.66,89,97,2.57,ES,1707957611
332,akot,21.0964,77.0586,293.57,42,5,2.02,IN,1707957611
333,chengde,40.9725,117.9361,269.29,30,0,5.87,CN,1707957612
334,san julian,21.0167,-102.1667,285.55,74,100,1.63,MX,1707957612
335,muisne,0.6,-80.0333,298.77,91,100,1.3,EC,1707957613
336,galion,40.7337,-82.7899,273.34,74,12,1.69,US,1707957613
337,la sarre,48.8002,-79.1996,258.86,94,100,1.27,CA,1707957491
338,ormara,25.2088,64.6357,294.57,61,0,2.39,PK,1707957613
339,wacheng,33.7833,114.5167,279.65,47,100,5.12,CN,1707957613
340,dawson creek,55.7666,-120.2362,269.95,43,0,0.0,CA,1707957613
341,newman,37.3138,-121.0208,290.28,73,100,2.24,US,1707957613
342,alexandria,31.2156,29.9553,283.45,72,96,5.13,EG,1707957601
343,rive-de-gier,45.5307,4.6213,282.75,68,100,1.68,FR,1707957613
344,tynda,55.1667,124.7167,237.49,97,30,0.73,RU,1707957614
345,katsuura,35.1333,140.3,288.16,73,100,10.19,JP,1707957614
346,kladanj,44.2264,18.6914,268.99,82,18,1.26,BA,1707957614
347,gilgit,35.9221,74.3087,273.42,35,7,1.48,PK,1707957614
348,kourou,5.1552,-52.6478,300.18,79,99,4.53,GF,1707957614
349,fort bragg,35.139,-79.006,285.47,56,0,0.0,US,1707957614
350,gemerek,39.1834,36.0719,278.12,88,100,0.93,TR,1707957615
351,kailua-kona,19.6406,-155.9956,301.13,78,0,7.72,US,1707957556
352,tam ky,15.5667,108.4833,296.04,87,18,0.71,VN,1707957615
353,roma,43.2128,-75.4557,269.64,60,0,6.17,US,1707957615
354,northam,51.0333,-4.2167,286.14,97,100,7.56,GB,1707957615
355,la passe,45.5549,-0.8967,286.47,78,100,5.59,FR,1707957615
356,nuuk,64.1835,-51.7216,263.49,79,0,5.14,GL,1707957615
357,novyy urgal,51.0736,132.5642,248.84,91,41,0.4,RU,1707957616
358,rafsanjan,30.4067,55.9939,283.55,41,0,2.28,IR,1707957616
359,riberalta,-10.9833,-66.1,296.4,94,18,0.34,BO,1707957616
360,nadi,-17.8,177.4167,301.15,94,75,6.17,FJ,1707957616
361,pitea,65.3172,21.4794,265.2,98,100,0.67,SE,1707957616
362,villa canas,-34.0057,-61.6076,291.44,10,6,3.2,AR,1707957616
363,mandan,46.8267,-100.8896,268.47,59,0,3.09,US,1707957616
